Indexing started : 2026-03-16 15:20:38.584491
Device           : cpu (FP32)
Batch size       : 10
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/4067 (10/40670) | decode:0.14s embed:0.33s db:0.13s total:0.46s | CPU:29% RAM:88% GPU:N/A | ETA:31m24s
batch 1051/4067 (10510/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:78% RAM:85% GPU:N/A | ETA:20m27s
batch 1052/4067 (10520/40670) | decode:0.14s embed:0.39s db:0.03s total:0.42s | CPU:78% RAM:85% GPU:N/A | ETA:20m35s
batch 1053/4067 (10530/40670) | decode:0.13s embed:0.52s db:0.03s total:0.55s | CPU:71% RAM:85% GPU:N/A | ETA:21m58s
batch 1054/4067 (10540/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:66% RAM:85% GPU:N/A | ETA:21m28s
batch 1055/4067 (10550/40670) | decode:0.14s embed:0.38s db:0.03s total:0.41s | CPU:72% RAM:85% GPU:N/A | ETA:21m15s
batch 1056/4067 (10560/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:73% RAM:85% GPU:N/A | ETA:20m56s
batch 1057/4067 (10570/40670) | decode:0.20s embed:0.36s db:0.03s total:0.38s | CPU:83% RAM:85% GPU:N/A | ETA:20m36s
batch 1058/4067 (10580/40670) | decode:0.12s embed:0.36s db:0.03s total:0.40s | CPU:73% RAM:85% GPU:N/A | ETA:20m27s
batch 1059/4067 (10590/40670) | decode:0.12s embed:0.35s db:0.03s total:0.38s | CPU:67% RAM:85% GPU:N/A | ETA:20m12s
batch 1060/4067 (10600/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:85% GPU:N/A | ETA:20m6s
batch 1061/4067 (10610/40670) | decode:0.13s embed:0.36s db:0.26s total:0.62s | CPU:62% RAM:85% GPU:N/A | ETA:22m18s
batch 1062/4067 (10620/40670) | decode:0.14s embed:0.47s db:0.02s total:0.49s | CPU:70% RAM:85% GPU:N/A | ETA:22m46s
batch 1063/4067 (10630/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:76% RAM:85% GPU:N/A | ETA:22m10s
batch 1064/4067 (10640/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:71% RAM:85% GPU:N/A | ETA:21m37s
batch 1065/4067 (10650/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:81% RAM:85% GPU:N/A | ETA:21m22s
batch 1066/4067 (10660/40670) | decode:0.18s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:85% GPU:N/A | ETA:20m58s
batch 1067/4067 (10670/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:72% RAM:85% GPU:N/A | ETA:20m39s
batch 1068/4067 (10680/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:85% GPU:N/A | ETA:20m16s
batch 1069/4067 (10690/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:77% RAM:85% GPU:N/A | ETA:20m12s
batch 1070/4067 (10700/40670) | decode:0.14s embed:0.38s db:0.02s total:0.39s | CPU:82% RAM:85% GPU:N/A | ETA:20m5s
batch 1071/4067 (10710/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:87% RAM:85% GPU:N/A | ETA:19m54s
batch 1072/4067 (10720/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:81% RAM:86% GPU:N/A | ETA:19m53s
batch 1073/4067 (10730/40670) | decode:0.13s embed:0.38s db:0.02s total:0.41s | CPU:79% RAM:86% GPU:N/A | ETA:19m56s
batch 1074/4067 (10740/40670) | decode:0.11s embed:0.38s db:0.02s total:0.40s | CPU:68% RAM:86% GPU:N/A | ETA:19m57s
batch 1075/4067 (10750/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:73% RAM:86% GPU:N/A | ETA:19m54s
batch 1076/4067 (10760/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:19m48s
batch 1077/4067 (10770/40670) | decode:0.15s embed:0.40s db:0.02s total:0.42s | CPU:76% RAM:86% GPU:N/A | ETA:20m0s
batch 1078/4067 (10780/40670) | decode:0.14s embed:0.40s db:0.02s total:0.42s | CPU:67% RAM:85% GPU:N/A | ETA:20m11s
batch 1079/4067 (10790/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:65% RAM:86% GPU:N/A | ETA:20m5s
batch 1080/4067 (10800/40670) | decode:0.15s embed:0.36s db:0.02s total:0.38s | CPU:69% RAM:86% GPU:N/A | ETA:19m51s
batch 1081/4067 (10810/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:81% RAM:85% GPU:N/A | ETA:19m45s
batch 1082/4067 (10820/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:79% RAM:85% GPU:N/A | ETA:19m36s
batch 1083/4067 (10830/40670) | decode:0.14s embed:0.36s db:0.02s total:0.39s | CPU:76% RAM:85% GPU:N/A | ETA:19m31s
batch 1084/4067 (10840/40670) | decode:0.11s embed:0.39s db:0.02s total:0.41s | CPU:72% RAM:86% GPU:N/A | ETA:19m40s
batch 1085/4067 (10850/40670) | decode:0.14s embed:0.38s db:0.02s total:0.41s | CPU:74% RAM:86% GPU:N/A | ETA:19m45s
batch 1086/4067 (10860/40670) | decode:0.14s embed:0.39s db:0.02s total:0.41s | CPU:69% RAM:86% GPU:N/A | ETA:19m53s
batch 1087/4067 (10870/40670) | decode:0.10s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:19m47s
batch 1088/4067 (10880/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:19m44s
batch 1089/4067 (10890/40670) | decode:0.14s embed:0.38s db:0.02s total:0.40s | CPU:81% RAM:86% GPU:N/A | ETA:19m45s
batch 1090/4067 (10900/40670) | decode:0.15s embed:0.37s db:0.03s total:0.40s | CPU:79% RAM:86% GPU:N/A | ETA:19m44s
batch 1091/4067 (10910/40670) | decode:0.12s embed:0.38s db:0.02s total:0.40s | CPU:82% RAM:86% GPU:N/A | ETA:19m46s
batch 1092/4067 (10920/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:81% RAM:85% GPU:N/A | ETA:19m45s
batch 1093/4067 (10930/40670) | decode:0.14s embed:0.38s db:0.03s total:0.40s | CPU:84% RAM:85% GPU:N/A | ETA:19m46s
batch 1094/4067 (10940/40670) | decode:0.14s embed:0.55s db:0.03s total:0.57s | CPU:85% RAM:86% GPU:N/A | ETA:21m30s
batch 1095/4067 (10950/40670) | decode:0.13s embed:0.44s db:0.02s total:0.47s | CPU:69% RAM:86% GPU:N/A | ETA:21m48s
batch 1096/4067 (10960/40670) | decode:0.14s embed:0.41s db:0.02s total:0.44s | CPU:68% RAM:86% GPU:N/A | ETA:21m45s
batch 1097/4067 (10970/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:21m12s
batch 1098/4067 (10980/40670) | decode:0.14s embed:0.36s db:0.02s total:0.39s | CPU:65% RAM:86% GPU:N/A | ETA:20m46s
batch 1099/4067 (10990/40670) | decode:0.17s embed:0.37s db:0.02s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:20m27s
batch 1100/4067 (11000/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:20m14s
batch 1101/4067 (11010/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:74% RAM:86% GPU:N/A | ETA:19m58s
batch 1102/4067 (11020/40670) | decode:0.11s embed:0.37s db:0.02s total:0.39s | CPU:77% RAM:86% GPU:N/A | ETA:19m47s
batch 1103/4067 (11030/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:19m40s
batch 1104/4067 (11040/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:19m35s
batch 1105/4067 (11050/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:19m23s
batch 1106/4067 (11060/40670) | decode:0.12s embed:0.39s db:0.02s total:0.42s | CPU:78% RAM:86% GPU:N/A | ETA:19m37s
batch 1107/4067 (11070/40670) | decode:0.11s embed:0.36s db:0.04s total:0.39s | CPU:78% RAM:86% GPU:N/A | ETA:19m35s
batch 1108/4067 (11080/40670) | decode:0.13s embed:0.35s db:0.02s total:0.37s | CPU:70% RAM:85% GPU:N/A | ETA:19m19s
batch 1109/4067 (11090/40670) | decode:0.10s embed:0.35s db:0.03s total:0.38s | CPU:67% RAM:85% GPU:N/A | ETA:19m12s
batch 1110/4067 (11100/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:70% RAM:85% GPU:N/A | ETA:19m4s
batch 1111/4067 (11110/40670) | decode:0.12s embed:0.34s db:0.04s total:0.38s | CPU:75% RAM:85% GPU:N/A | ETA:19m0s
batch 1112/4067 (11120/40670) | decode:0.13s embed:0.34s db:0.02s total:0.36s | CPU:68% RAM:85% GPU:N/A | ETA:18m42s
batch 1113/4067 (11130/40670) | decode:0.13s embed:0.35s db:0.04s total:0.39s | CPU:65% RAM:85% GPU:N/A | ETA:18m49s
batch 1114/4067 (11140/40670) | decode:0.14s embed:0.36s db:0.04s total:0.40s | CPU:72% RAM:85% GPU:N/A | ETA:18m59s
batch 1115/4067 (11150/40670) | decode:0.11s embed:0.36s db:0.04s total:0.40s | CPU:84% RAM:85% GPU:N/A | ETA:19m6s
batch 1116/4067 (11160/40670) | decode:0.10s embed:0.38s db:0.02s total:0.40s | CPU:62% RAM:85% GPU:N/A | ETA:19m10s
batch 1117/4067 (11170/40670) | decode:0.13s embed:0.36s db:0.04s total:0.39s | CPU:68% RAM:85% GPU:N/A | ETA:19m12s
batch 1118/4067 (11180/40670) | decode:0.12s embed:0.36s db:0.04s total:0.39s | CPU:83% RAM:85% GPU:N/A | ETA:19m11s
batch 1119/4067 (11190/40670) | decode:0.12s embed:0.38s db:0.04s total:0.42s | CPU:55% RAM:85% GPU:N/A | ETA:19m29s
batch 1120/4067 (11200/40670) | decode:0.15s embed:0.36s db:0.04s total:0.40s | CPU:66% RAM:85% GPU:N/A | ETA:19m28s
batch 1121/4067 (11210/40670) | decode:0.13s embed:0.35s db:0.04s total:0.39s | CPU:51% RAM:85% GPU:N/A | ETA:19m23s
batch 1122/4067 (11220/40670) | decode:0.11s embed:0.35s db:0.03s total:0.38s | CPU:68% RAM:85% GPU:N/A | ETA:19m15s
batch 1123/4067 (11230/40670) | decode:0.12s embed:0.34s db:0.04s total:0.38s | CPU:71% RAM:85% GPU:N/A | ETA:19m9s
batch 1124/4067 (11240/40670) | decode:0.13s embed:0.35s db:0.04s total:0.39s | CPU:67% RAM:85% GPU:N/A | ETA:19m6s
batch 1125/4067 (11250/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:78% RAM:85% GPU:N/A | ETA:19m6s
batch 1126/4067 (11260/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:73% RAM:85% GPU:N/A | ETA:19m7s
batch 1127/4067 (11270/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:72% RAM:85% GPU:N/A | ETA:19m5s
batch 1128/4067 (11280/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:79% RAM:85% GPU:N/A | ETA:18m58s
batch 1129/4067 (11290/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:79% RAM:85% GPU:N/A | ETA:19m0s
batch 1130/4067 (11300/40670) | decode:0.12s embed:0.37s db:0.03s total:0.39s | CPU:77% RAM:85% GPU:N/A | ETA:19m3s
batch 1131/4067 (11310/40670) | decode:0.15s embed:0.36s db:0.03s total:0.39s | CPU:78% RAM:85% GPU:N/A | ETA:19m1s
batch 1132/4067 (11320/40670) | decode:0.13s embed:0.37s db:0.03s total:0.39s | CPU:70% RAM:85% GPU:N/A | ETA:19m4s
batch 1133/4067 (11330/40670) | decode:0.12s embed:0.35s db:0.03s total:0.39s | CPU:70% RAM:85% GPU:N/A | ETA:19m2s
batch 1134/4067 (11340/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:85% GPU:N/A | ETA:18m55s
batch 1135/4067 (11350/40670) | decode:0.12s embed:0.42s db:0.03s total:0.45s | CPU:82% RAM:85% GPU:N/A | ETA:19m35s
batch 1136/4067 (11360/40670) | decode:0.13s embed:0.43s db:0.03s total:0.46s | CPU:69% RAM:85% GPU:N/A | ETA:20m10s
batch 1137/4067 (11370/40670) | decode:0.13s embed:0.37s db:0.03s total:0.40s | CPU:67% RAM:85% GPU:N/A | ETA:20m1s
batch 1138/4067 (11380/40670) | decode:0.12s embed:0.40s db:0.03s total:0.43s | CPU:73% RAM:86% GPU:N/A | ETA:20m12s
batch 1139/4067 (11390/40670) | decode:0.12s embed:0.36s db:0.05s total:0.41s | CPU:68% RAM:86% GPU:N/A | ETA:20m9s
batch 1140/4067 (11400/40670) | decode:0.16s embed:0.36s db:0.03s total:0.39s | CPU:63% RAM:86% GPU:N/A | ETA:19m57s
batch 1141/4067 (11410/40670) | decode:0.13s embed:0.36s db:0.04s total:0.40s | CPU:63% RAM:86% GPU:N/A | ETA:19m50s
batch 1142/4067 (11420/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:19m40s
batch 1143/4067 (11430/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:78% RAM:85% GPU:N/A | ETA:19m30s
batch 1144/4067 (11440/40670) | decode:0.13s embed:0.40s db:0.03s total:0.43s | CPU:76% RAM:86% GPU:N/A | ETA:19m45s
batch 1145/4067 (11450/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:19m34s
batch 1146/4067 (11460/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:59% RAM:85% GPU:N/A | ETA:19m27s
batch 1147/4067 (11470/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:63% RAM:86% GPU:N/A | ETA:19m27s
batch 1148/4067 (11480/40670) | decode:0.12s embed:0.36s db:0.03s total:0.40s | CPU:64% RAM:86% GPU:N/A | ETA:19m24s
batch 1149/4067 (11490/40670) | decode:0.12s embed:0.53s db:0.03s total:0.56s | CPU:69% RAM:86% GPU:N/A | ETA:20m57s
batch 1150/4067 (11500/40670) | decode:0.11s embed:0.36s db:0.03s total:0.40s | CPU:64% RAM:86% GPU:N/A | ETA:20m37s
batch 1151/4067 (11510/40670) | decode:0.14s embed:0.35s db:0.03s total:0.39s | CPU:75% RAM:86% GPU:N/A | ETA:20m14s
batch 1152/4067 (11520/40670) | decode:0.14s embed:0.35s db:0.03s total:0.39s | CPU:63% RAM:86% GPU:N/A | ETA:19m55s
batch 1153/4067 (11530/40670) | decode:0.15s embed:0.36s db:0.03s total:0.39s | CPU:67% RAM:85% GPU:N/A | ETA:19m44s
batch 1154/4067 (11540/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:68% RAM:85% GPU:N/A | ETA:19m33s
batch 1155/4067 (11550/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:68% RAM:85% GPU:N/A | ETA:19m25s
batch 1156/4067 (11560/40670) | decode:0.11s embed:0.35s db:0.03s total:0.38s | CPU:76% RAM:85% GPU:N/A | ETA:19m13s
batch 1157/4067 (11570/40670) | decode:0.12s embed:0.36s db:0.03s total:0.38s | CPU:78% RAM:85% GPU:N/A | ETA:19m4s
batch 1158/4067 (11580/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:73% RAM:85% GPU:N/A | ETA:18m58s
batch 1159/4067 (11590/40670) | decode:0.13s embed:0.36s db:0.02s total:0.39s | CPU:82% RAM:85% GPU:N/A | ETA:18m55s
batch 1160/4067 (11600/40670) | decode:0.11s embed:0.35s db:0.03s total:0.38s | CPU:72% RAM:85% GPU:N/A | ETA:18m49s
batch 1161/4067 (11610/40670) | decode:0.10s embed:0.38s db:0.15s total:0.53s | CPU:63% RAM:86% GPU:N/A | ETA:20m10s
batch 1162/4067 (11620/40670) | decode:0.13s embed:0.46s db:0.02s total:0.48s | CPU:84% RAM:86% GPU:N/A | ETA:20m46s
batch 1163/4067 (11630/40670) | decode:0.12s embed:0.39s db:0.02s total:0.40s | CPU:87% RAM:86% GPU:N/A | ETA:20m31s
batch 1164/4067 (11640/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:80% RAM:86% GPU:N/A | ETA:20m11s
batch 1165/4067 (11650/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:77% RAM:86% GPU:N/A | ETA:19m56s
batch 1166/4067 (11660/40670) | decode:0.12s embed:0.39s db:0.02s total:0.40s | CPU:83% RAM:86% GPU:N/A | ETA:19m51s
batch 1167/4067 (11670/40670) | decode:0.13s embed:0.38s db:0.02s total:0.40s | CPU:83% RAM:86% GPU:N/A | ETA:19m43s
batch 1168/4067 (11680/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:19m23s
batch 1169/4067 (11690/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:68% RAM:86% GPU:N/A | ETA:19m9s
batch 1170/4067 (11700/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:77% RAM:86% GPU:N/A | ETA:18m59s
batch 1171/4067 (11710/40670) | decode:0.13s embed:0.39s db:0.02s total:0.41s | CPU:66% RAM:86% GPU:N/A | ETA:19m11s
batch 1172/4067 (11720/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:71% RAM:86% GPU:N/A | ETA:18m58s
batch 1173/4067 (11730/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:18m54s
batch 1174/4067 (11740/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:18m49s
batch 1175/4067 (11750/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:66% RAM:86% GPU:N/A | ETA:18m43s
batch 1176/4067 (11760/40670) | decode:0.12s embed:0.35s db:0.02s total:0.37s | CPU:76% RAM:86% GPU:N/A | ETA:18m35s
batch 1177/4067 (11770/40670) | decode:0.13s embed:0.37s db:0.02s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:18m34s
batch 1178/4067 (11780/40670) | decode:0.10s embed:0.37s db:0.02s total:0.39s | CPU:73% RAM:86% GPU:N/A | ETA:18m35s
batch 1179/4067 (11790/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:71% RAM:86% GPU:N/A | ETA:18m28s
batch 1180/4067 (11800/40670) | decode:0.13s embed:0.37s db:0.02s total:0.39s | CPU:76% RAM:86% GPU:N/A | ETA:18m31s
batch 1181/4067 (11810/40670) | decode:0.12s embed:0.51s db:0.02s total:0.52s | CPU:77% RAM:86% GPU:N/A | ETA:19m51s
batch 1182/4067 (11820/40670) | decode:0.13s embed:0.34s db:0.03s total:0.37s | CPU:60% RAM:86% GPU:N/A | ETA:19m28s
batch 1183/4067 (11830/40670) | decode:0.13s embed:0.36s db:0.02s total:0.38s | CPU:65% RAM:86% GPU:N/A | ETA:19m12s
batch 1184/4067 (11840/40670) | decode:0.11s embed:0.35s db:0.04s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:19m7s
batch 1185/4067 (11850/40670) | decode:0.15s embed:0.37s db:0.04s total:0.40s | CPU:60% RAM:86% GPU:N/A | ETA:19m9s
batch 1186/4067 (11860/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:69% RAM:86% GPU:N/A | ETA:18m55s
batch 1187/4067 (11870/40670) | decode:0.14s embed:0.34s db:0.02s total:0.36s | CPU:68% RAM:86% GPU:N/A | ETA:18m35s
batch 1188/4067 (11880/40670) | decode:0.12s embed:0.34s db:0.03s total:0.38s | CPU:70% RAM:86% GPU:N/A | ETA:18m29s
batch 1189/4067 (11890/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:18m33s
batch 1190/4067 (11900/40670) | decode:0.14s embed:0.36s db:0.02s total:0.37s | CPU:60% RAM:85% GPU:N/A | ETA:18m26s
batch 1191/4067 (11910/40670) | decode:0.11s embed:0.35s db:0.02s total:0.36s | CPU:75% RAM:85% GPU:N/A | ETA:18m13s
batch 1192/4067 (11920/40670) | decode:0.12s embed:0.37s db:0.02s total:0.39s | CPU:73% RAM:85% GPU:N/A | ETA:18m18s
batch 1193/4067 (11930/40670) | decode:0.13s embed:0.35s db:0.02s total:0.37s | CPU:68% RAM:86% GPU:N/A | ETA:18m12s
batch 1194/4067 (11940/40670) | decode:0.13s embed:0.48s db:0.03s total:0.51s | CPU:73% RAM:86% GPU:N/A | ETA:19m26s
batch 1195/4067 (11950/40670) | decode:0.10s embed:0.35s db:0.04s total:0.39s | CPU:66% RAM:85% GPU:N/A | ETA:19m16s
batch 1196/4067 (11960/40670) | decode:0.13s embed:0.36s db:0.04s total:0.40s | CPU:64% RAM:85% GPU:N/A | ETA:19m15s
batch 1197/4067 (11970/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:69% RAM:85% GPU:N/A | ETA:19m3s
batch 1198/4067 (11980/40670) | decode:0.18s embed:0.38s db:0.04s total:0.42s | CPU:57% RAM:86% GPU:N/A | ETA:19m14s
batch 1199/4067 (11990/40670) | decode:0.13s embed:0.37s db:0.02s total:0.40s | CPU:66% RAM:86% GPU:N/A | ETA:19m9s
batch 1200/4067 (12000/40670) | decode:0.14s embed:0.35s db:0.02s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:18m56s
batch 1201/4067 (12010/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:73% RAM:86% GPU:N/A | ETA:18m47s
batch 1202/4067 (12020/40670) | decode:0.13s embed:0.36s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:18m43s
batch 1203/4067 (12030/40670) | decode:0.14s embed:0.37s db:0.02s total:0.39s | CPU:69% RAM:86% GPU:N/A | ETA:18m41s
batch 1204/4067 (12040/40670) | decode:0.10s embed:0.35s db:0.02s total:0.38s | CPU:66% RAM:86% GPU:N/A | ETA:18m32s
batch 1205/4067 (12050/40670) | decode:0.12s embed:0.36s db:0.03s total:0.38s | CPU:62% RAM:86% GPU:N/A | ETA:18m28s
batch 1206/4067 (12060/40670) | decode:0.11s embed:0.35s db:0.02s total:0.37s | CPU:68% RAM:86% GPU:N/A | ETA:18m19s
batch 1207/4067 (12070/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:81% RAM:86% GPU:N/A | ETA:18m19s
batch 1208/4067 (12080/40670) | decode:0.12s embed:0.36s db:0.02s total:0.38s | CPU:84% RAM:86% GPU:N/A | ETA:18m18s
batch 1209/4067 (12090/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:72% RAM:86% GPU:N/A | ETA:18m20s
batch 1210/4067 (12100/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:68% RAM:86% GPU:N/A | ETA:18m25s
batch 1211/4067 (12110/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:67% RAM:86% GPU:N/A | ETA:18m27s
batch 1212/4067 (12120/40670) | decode:0.12s embed:0.39s db:0.02s total:0.41s | CPU:79% RAM:86% GPU:N/A | ETA:18m40s
batch 1213/4067 (12130/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:76% RAM:85% GPU:N/A | ETA:18m31s
batch 1214/4067 (12140/40670) | decode:0.11s embed:0.36s db:0.03s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:18m28s
batch 1215/4067 (12150/40670) | decode:0.13s embed:0.52s db:0.03s total:0.55s | CPU:66% RAM:86% GPU:N/A | ETA:19m59s
batch 1216/4067 (12160/40670) | decode:0.13s embed:0.37s db:0.03s total:0.39s | CPU:67% RAM:86% GPU:N/A | ETA:19m42s
batch 1217/4067 (12170/40670) | decode:0.12s embed:0.37s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:19m30s
batch 1218/4067 (12180/40670) | decode:0.11s embed:0.36s db:0.03s total:0.39s | CPU:72% RAM:86% GPU:N/A | ETA:19m16s
batch 1219/4067 (12190/40670) | decode:0.13s embed:0.36s db:0.03s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:19m4s
batch 1220/4067 (12200/40670) | decode:0.13s embed:0.35s db:0.03s total:0.38s | CPU:79% RAM:86% GPU:N/A | ETA:18m50s
batch 1221/4067 (12210/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:18m40s
batch 1222/4067 (12220/40670) | decode:0.11s embed:0.38s db:0.02s total:0.40s | CPU:79% RAM:86% GPU:N/A | ETA:18m42s
batch 1223/4067 (12230/40670) | decode:0.11s embed:0.36s db:0.02s total:0.38s | CPU:79% RAM:86% GPU:N/A | ETA:18m33s
batch 1224/4067 (12240/40670) | decode:0.13s embed:0.47s db:0.03s total:0.50s | CPU:78% RAM:86% GPU:N/A | ETA:19m33s
batch 1225/4067 (12250/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:19m18s
batch 1226/4067 (12260/40670) | decode:0.11s embed:0.39s db:0.03s total:0.42s | CPU:69% RAM:86% GPU:N/A | ETA:19m23s
batch 1227/4067 (12270/40670) | decode:0.12s embed:0.39s db:0.03s total:0.42s | CPU:71% RAM:86% GPU:N/A | ETA:19m31s
batch 1228/4067 (12280/40670) | decode:0.15s embed:0.36s db:0.02s total:0.39s | CPU:66% RAM:86% GPU:N/A | ETA:19m16s
batch 1229/4067 (12290/40670) | decode:0.12s embed:0.37s db:0.02s total:0.40s | CPU:71% RAM:86% GPU:N/A | ETA:19m10s
batch 1230/4067 (12300/40670) | decode:0.14s embed:0.36s db:0.03s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:19m0s
batch 1231/4067 (12310/40670) | decode:0.14s embed:0.36s db:0.02s total:0.38s | CPU:72% RAM:86% GPU:N/A | ETA:18m48s
batch 1232/4067 (12320/40670) | decode:0.12s embed:0.36s db:0.02s total:0.39s | CPU:83% RAM:86% GPU:N/A | ETA:18m41s
batch 1233/4067 (12330/40670) | decode:0.12s embed:0.36s db:0.03s total:0.38s | CPU:78% RAM:86% GPU:N/A | ETA:18m34s
batch 1234/4067 (12340/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:83% RAM:86% GPU:N/A | ETA:18m31s
batch 1235/4067 (12350/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:70% RAM:86% GPU:N/A | ETA:18m27s
batch 1236/4067 (12360/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:71% RAM:86% GPU:N/A | ETA:18m25s
batch 1237/4067 (12370/40670) | decode:0.12s embed:0.37s db:0.03s total:0.40s | CPU:70% RAM:86% GPU:N/A | ETA:18m28s
batch 1238/4067 (12380/40670) | decode:0.12s embed:0.36s db:0.03s total:0.39s | CPU:73% RAM:86% GPU:N/A | ETA:18m24s
