Indexing started : 2026-03-16 16:11:45.977574
Device           : cpu (FP32)
Batch size       : 50
Folder           : ./assets40k
-----------------------------------------------------------------------------------------------
progress | decode | embed | db | total | CPU% RAM% GPU% VRAM | ETA
-----------------------------------------------------------------------------------------------
TurboJPEG        : not used (PIL sufficient at this batch size)
batch 1/814 (50/40670) | decode:0.35s embed:1.47s db:0.12s total:1.59s | CPU:25% RAM:88% GPU:N/A | ETA:21m34s
batch 193/814 (9650/40670) | decode:1.40s embed:2.89s db:0.08s total:2.97s | CPU:67% RAM:87% GPU:N/A | ETA:30m41s
batch 194/814 (9700/40670) | decode:1.47s embed:2.76s db:0.09s total:2.85s | CPU:67% RAM:86% GPU:N/A | ETA:30m24s
batch 195/814 (9750/40670) | decode:1.42s embed:2.92s db:0.06s total:2.98s | CPU:63% RAM:86% GPU:N/A | ETA:30m26s
batch 196/814 (9800/40670) | decode:1.56s embed:2.91s db:0.08s total:3.00s | CPU:64% RAM:86% GPU:N/A | ETA:30m28s
batch 197/814 (9850/40670) | decode:1.63s embed:2.98s db:0.08s total:3.07s | CPU:62% RAM:86% GPU:N/A | ETA:30m39s
batch 198/814 (9900/40670) | decode:1.54s embed:2.87s db:0.08s total:2.95s | CPU:65% RAM:86% GPU:N/A | ETA:30m32s
batch 199/814 (9950/40670) | decode:1.61s embed:2.77s db:0.08s total:2.86s | CPU:68% RAM:87% GPU:N/A | ETA:30m14s
batch 200/814 (10000/40670) | decode:1.57s embed:2.95s db:0.25s total:3.20s | CPU:66% RAM:87% GPU:N/A | ETA:30m42s
batch 201/814 (10050/40670) | decode:1.57s embed:2.80s db:0.06s total:2.87s | CPU:66% RAM:87% GPU:N/A | ETA:30m23s
batch 202/814 (10100/40670) | decode:1.51s embed:2.91s db:0.05s total:2.96s | CPU:64% RAM:86% GPU:N/A | ETA:30m18s
batch 203/814 (10150/40670) | decode:1.40s embed:2.98s db:0.07s total:3.05s | CPU:65% RAM:86% GPU:N/A | ETA:30m25s
batch 204/814 (10200/40670) | decode:1.71s embed:2.95s db:0.07s total:3.02s | CPU:63% RAM:86% GPU:N/A | ETA:30m26s
batch 205/814 (10250/40670) | decode:1.56s embed:2.90s db:0.05s total:2.95s | CPU:64% RAM:86% GPU:N/A | ETA:30m17s
batch 206/814 (10300/40670) | decode:1.66s embed:3.00s db:0.05s total:3.05s | CPU:70% RAM:87% GPU:N/A | ETA:30m22s
batch 207/814 (10350/40670) | decode:1.63s embed:2.90s db:0.05s total:2.95s | CPU:66% RAM:87% GPU:N/A | ETA:30m13s
batch 208/814 (10400/40670) | decode:1.44s embed:2.98s db:0.06s total:3.03s | CPU:73% RAM:88% GPU:N/A | ETA:30m16s
batch 209/814 (10450/40670) | decode:1.55s embed:2.81s db:0.05s total:2.86s | CPU:69% RAM:89% GPU:N/A | ETA:29m56s
batch 210/814 (10500/40670) | decode:1.51s embed:2.74s db:0.06s total:2.80s | CPU:69% RAM:88% GPU:N/A | ETA:29m32s
batch 211/814 (10550/40670) | decode:1.59s embed:2.82s db:0.08s total:2.90s | CPU:66% RAM:87% GPU:N/A | ETA:29m26s
batch 212/814 (10600/40670) | decode:1.48s embed:3.09s db:0.06s total:3.14s | CPU:66% RAM:86% GPU:N/A | ETA:29m48s
batch 213/814 (10650/40670) | decode:1.47s embed:2.82s db:0.08s total:2.91s | CPU:66% RAM:86% GPU:N/A | ETA:29m38s
batch 214/814 (10700/40670) | decode:1.53s embed:2.87s db:0.08s total:2.96s | CPU:65% RAM:85% GPU:N/A | ETA:29m35s
batch 215/814 (10750/40670) | decode:1.50s embed:3.04s db:0.09s total:3.14s | CPU:66% RAM:84% GPU:N/A | ETA:29m53s
batch 216/814 (10800/40670) | decode:1.75s embed:2.82s db:0.06s total:2.89s | CPU:64% RAM:85% GPU:N/A | ETA:29m38s
batch 217/814 (10850/40670) | decode:1.46s embed:2.89s db:0.09s total:2.99s | CPU:63% RAM:85% GPU:N/A | ETA:29m36s
batch 218/814 (10900/40670) | decode:1.52s embed:3.03s db:0.08s total:3.12s | CPU:63% RAM:85% GPU:N/A | ETA:29m50s
batch 219/814 (10950/40670) | decode:1.43s embed:2.86s db:0.07s total:2.92s | CPU:63% RAM:84% GPU:N/A | ETA:29m38s
batch 220/814 (11000/40670) | decode:1.50s embed:2.84s db:0.29s total:3.14s | CPU:61% RAM:84% GPU:N/A | ETA:29m52s
batch 221/814 (11050/40670) | decode:1.52s embed:2.84s db:0.04s total:2.88s | CPU:62% RAM:84% GPU:N/A | ETA:29m33s
batch 222/814 (11100/40670) | decode:1.44s embed:2.96s db:0.07s total:3.03s | CPU:61% RAM:84% GPU:N/A | ETA:29m35s
batch 223/814 (11150/40670) | decode:1.50s embed:2.91s db:0.07s total:2.99s | CPU:63% RAM:85% GPU:N/A | ETA:29m30s
batch 224/814 (11200/40670) | decode:1.51s embed:2.85s db:0.07s total:2.92s | CPU:63% RAM:84% GPU:N/A | ETA:29m18s
batch 225/814 (11250/40670) | decode:1.45s embed:2.81s db:0.04s total:2.85s | CPU:72% RAM:85% GPU:N/A | ETA:29m0s
batch 226/814 (11300/40670) | decode:1.55s embed:2.71s db:0.06s total:2.77s | CPU:72% RAM:86% GPU:N/A | ETA:28m36s
batch 227/814 (11350/40670) | decode:1.57s embed:2.81s db:0.05s total:2.86s | CPU:67% RAM:86% GPU:N/A | ETA:28m26s
batch 228/814 (11400/40670) | decode:1.61s embed:2.82s db:0.07s total:2.90s | CPU:72% RAM:86% GPU:N/A | ETA:28m22s
batch 229/814 (11450/40670) | decode:1.49s embed:2.83s db:0.05s total:2.88s | CPU:66% RAM:86% GPU:N/A | ETA:28m16s
batch 230/814 (11500/40670) | decode:1.38s embed:2.81s db:0.05s total:2.87s | CPU:68% RAM:86% GPU:N/A | ETA:28m9s
batch 231/814 (11550/40670) | decode:1.41s embed:3.32s db:0.06s total:3.39s | CPU:65% RAM:85% GPU:N/A | ETA:29m4s
batch 232/814 (11600/40670) | decode:1.59s embed:2.81s db:0.08s total:2.90s | CPU:64% RAM:85% GPU:N/A | ETA:28m50s
batch 233/814 (11650/40670) | decode:1.54s embed:2.81s db:0.05s total:2.86s | CPU:67% RAM:85% GPU:N/A | ETA:28m34s
batch 234/814 (11700/40670) | decode:1.50s embed:2.85s db:0.06s total:2.92s | CPU:72% RAM:86% GPU:N/A | ETA:28m27s
batch 235/814 (11750/40670) | decode:2.01s embed:2.92s db:0.06s total:2.98s | CPU:78% RAM:88% GPU:N/A | ETA:28m29s
batch 236/814 (11800/40670) | decode:1.45s embed:2.85s db:0.05s total:2.90s | CPU:82% RAM:89% GPU:N/A | ETA:28m20s
batch 237/814 (11850/40670) | decode:1.59s embed:3.01s db:0.06s total:3.07s | CPU:70% RAM:88% GPU:N/A | ETA:28m32s
batch 238/814 (11900/40670) | decode:1.52s embed:2.88s db:0.06s total:2.95s | CPU:73% RAM:87% GPU:N/A | ETA:28m27s
batch 239/814 (11950/40670) | decode:1.65s embed:2.89s db:0.05s total:2.94s | CPU:73% RAM:88% GPU:N/A | ETA:28m21s
batch 240/814 (12000/40670) | decode:1.67s embed:2.87s db:0.31s total:3.18s | CPU:65% RAM:88% GPU:N/A | ETA:28m44s
batch 241/814 (12050/40670) | decode:1.73s embed:2.91s db:0.04s total:2.95s | CPU:68% RAM:86% GPU:N/A | ETA:28m34s
batch 242/814 (12100/40670) | decode:1.56s embed:2.78s db:0.04s total:2.83s | CPU:73% RAM:86% GPU:N/A | ETA:28m12s
batch 243/814 (12150/40670) | decode:1.47s embed:2.75s db:0.04s total:2.79s | CPU:81% RAM:88% GPU:N/A | ETA:27m50s
batch 244/814 (12200/40670) | decode:1.53s embed:2.74s db:0.04s total:2.78s | CPU:84% RAM:89% GPU:N/A | ETA:27m30s
batch 245/814 (12250/40670) | decode:1.65s embed:2.15s db:0.03s total:2.18s | CPU:88% RAM:89% GPU:N/A | ETA:26m5s
batch 246/814 (12300/40670) | decode:1.41s embed:1.80s db:0.03s total:1.83s | CPU:87% RAM:88% GPU:N/A | ETA:24m18s
batch 247/814 (12350/40670) | decode:1.58s embed:1.80s db:0.04s total:1.84s | CPU:78% RAM:89% GPU:N/A | ETA:22m53s
batch 248/814 (12400/40670) | decode:1.52s embed:2.07s db:0.04s total:2.11s | CPU:89% RAM:90% GPU:N/A | ETA:22m15s
batch 249/814 (12450/40670) | decode:1.64s embed:2.02s db:0.04s total:2.06s | CPU:82% RAM:90% GPU:N/A | ETA:21m39s
batch 250/814 (12500/40670) | decode:1.26s embed:1.97s db:0.03s total:2.01s | CPU:80% RAM:90% GPU:N/A | ETA:21m3s
batch 251/814 (12550/40670) | decode:1.06s embed:1.92s db:0.03s total:1.96s | CPU:78% RAM:90% GPU:N/A | ETA:20m29s
batch 252/814 (12600/40670) | decode:1.34s embed:2.00s db:0.05s total:2.05s | CPU:78% RAM:91% GPU:N/A | ETA:20m12s
batch 253/814 (12650/40670) | decode:1.58s embed:2.58s db:0.09s total:2.67s | CPU:82% RAM:93% GPU:N/A | ETA:21m7s
batch 254/814 (12700/40670) | decode:1.65s embed:2.90s db:0.05s total:2.95s | CPU:83% RAM:94% GPU:N/A | ETA:22m23s
batch 255/814 (12750/40670) | decode:1.48s embed:1.95s db:0.03s total:1.99s | CPU:81% RAM:94% GPU:N/A | ETA:21m35s
batch 256/814 (12800/40670) | decode:1.33s embed:1.79s db:0.02s total:1.82s | CPU:84% RAM:94% GPU:N/A | ETA:20m36s
batch 257/814 (12850/40670) | decode:1.92s embed:1.81s db:0.04s total:1.85s | CPU:85% RAM:94% GPU:N/A | ETA:19m53s
batch 258/814 (12900/40670) | decode:2.09s embed:1.80s db:0.05s total:1.85s | CPU:84% RAM:94% GPU:N/A | ETA:19m18s
batch 259/814 (12950/40670) | decode:1.38s embed:1.78s db:0.05s total:1.83s | CPU:73% RAM:94% GPU:N/A | ETA:18m47s
batch 260/814 (13000/40670) | decode:1.19s embed:1.73s db:0.17s total:1.89s | CPU:78% RAM:93% GPU:N/A | ETA:18m30s
batch 261/814 (13050/40670) | decode:1.01s embed:1.74s db:0.03s total:1.77s | CPU:83% RAM:93% GPU:N/A | ETA:18m2s
batch 262/814 (13100/40670) | decode:0.94s embed:1.65s db:0.04s total:1.69s | CPU:81% RAM:93% GPU:N/A | ETA:17m31s
batch 263/814 (13150/40670) | decode:0.87s embed:1.70s db:0.06s total:1.76s | CPU:82% RAM:93% GPU:N/A | ETA:17m13s
batch 264/814 (13200/40670) | decode:0.82s embed:1.69s db:0.03s total:1.72s | CPU:83% RAM:93% GPU:N/A | ETA:16m54s
batch 265/814 (13250/40670) | decode:0.85s embed:1.65s db:0.05s total:1.70s | CPU:79% RAM:93% GPU:N/A | ETA:16m37s
batch 266/814 (13300/40670) | decode:0.68s embed:1.60s db:0.05s total:1.65s | CPU:79% RAM:93% GPU:N/A | ETA:16m16s
batch 267/814 (13350/40670) | decode:0.77s embed:1.64s db:0.05s total:1.69s | CPU:79% RAM:93% GPU:N/A | ETA:16m4s
batch 268/814 (13400/40670) | decode:0.81s embed:1.60s db:0.05s total:1.65s | CPU:79% RAM:93% GPU:N/A | ETA:15m50s
batch 269/814 (13450/40670) | decode:0.68s embed:1.60s db:0.04s total:1.64s | CPU:74% RAM:93% GPU:N/A | ETA:15m38s
batch 270/814 (13500/40670) | decode:0.63s embed:1.61s db:0.04s total:1.65s | CPU:77% RAM:93% GPU:N/A | ETA:15m29s
batch 271/814 (13550/40670) | decode:0.65s embed:1.82s db:0.05s total:1.87s | CPU:76% RAM:92% GPU:N/A | ETA:15m44s
batch 272/814 (13600/40670) | decode:0.67s embed:1.65s db:0.05s total:1.70s | CPU:78% RAM:93% GPU:N/A | ETA:15m38s
batch 273/814 (13650/40670) | decode:0.66s embed:1.61s db:0.04s total:1.65s | CPU:76% RAM:93% GPU:N/A | ETA:15m28s
batch 274/814 (13700/40670) | decode:0.66s embed:1.67s db:0.04s total:1.71s | CPU:81% RAM:92% GPU:N/A | ETA:15m25s
batch 275/814 (13750/40670) | decode:0.99s embed:1.77s db:0.03s total:1.80s | CPU:82% RAM:92% GPU:N/A | ETA:15m33s
batch 276/814 (13800/40670) | decode:0.76s embed:1.69s db:0.04s total:1.73s | CPU:84% RAM:93% GPU:N/A | ETA:15m30s
batch 277/814 (13850/40670) | decode:0.62s embed:1.75s db:0.04s total:1.79s | CPU:76% RAM:93% GPU:N/A | ETA:15m35s
batch 278/814 (13900/40670) | decode:0.72s embed:1.65s db:0.05s total:1.71s | CPU:79% RAM:93% GPU:N/A | ETA:15m30s
batch 279/814 (13950/40670) | decode:0.98s embed:1.71s db:0.06s total:1.77s | CPU:80% RAM:92% GPU:N/A | ETA:15m32s
batch 280/814 (14000/40670) | decode:0.63s embed:1.76s db:0.19s total:1.94s | CPU:79% RAM:93% GPU:N/A | ETA:15m52s
batch 281/814 (14050/40670) | decode:0.89s embed:1.75s db:0.03s total:1.78s | CPU:74% RAM:93% GPU:N/A | ETA:15m50s
batch 282/814 (14100/40670) | decode:0.64s embed:1.63s db:0.04s total:1.68s | CPU:78% RAM:93% GPU:N/A | ETA:15m37s
batch 283/814 (14150/40670) | decode:0.72s embed:1.70s db:0.06s total:1.76s | CPU:79% RAM:93% GPU:N/A | ETA:15m35s
batch 284/814 (14200/40670) | decode:0.83s embed:1.64s db:0.03s total:1.67s | CPU:79% RAM:93% GPU:N/A | ETA:15m23s
batch 285/814 (14250/40670) | decode:0.92s embed:1.60s db:0.05s total:1.65s | CPU:74% RAM:93% GPU:N/A | ETA:15m12s
batch 286/814 (14300/40670) | decode:0.65s embed:1.61s db:0.03s total:1.64s | CPU:75% RAM:93% GPU:N/A | ETA:15m1s
batch 287/814 (14350/40670) | decode:0.75s embed:1.63s db:0.04s total:1.67s | CPU:79% RAM:93% GPU:N/A | ETA:14m56s
batch 288/814 (14400/40670) | decode:0.69s embed:1.62s db:0.05s total:1.68s | CPU:75% RAM:93% GPU:N/A | ETA:14m51s
batch 289/814 (14450/40670) | decode:0.65s embed:1.65s db:0.04s total:1.69s | CPU:86% RAM:93% GPU:N/A | ETA:14m49s
batch 290/814 (14500/40670) | decode:0.67s embed:1.81s db:0.03s total:1.85s | CPU:74% RAM:93% GPU:N/A | ETA:15m4s
batch 291/814 (14550/40670) | decode:0.67s embed:1.66s db:0.06s total:1.73s | CPU:70% RAM:93% GPU:N/A | ETA:15m2s
batch 292/814 (14600/40670) | decode:0.67s embed:1.65s db:0.03s total:1.69s | CPU:80% RAM:93% GPU:N/A | ETA:14m57s
batch 293/814 (14650/40670) | decode:0.67s embed:1.62s db:0.03s total:1.66s | CPU:72% RAM:93% GPU:N/A | ETA:14m49s
batch 294/814 (14700/40670) | decode:1.08s embed:1.64s db:0.03s total:1.67s | CPU:77% RAM:93% GPU:N/A | ETA:14m44s
batch 295/814 (14750/40670) | decode:0.77s embed:1.71s db:0.04s total:1.75s | CPU:73% RAM:93% GPU:N/A | ETA:14m47s
batch 296/814 (14800/40670) | decode:0.69s embed:1.64s db:0.04s total:1.68s | CPU:81% RAM:93% GPU:N/A | ETA:14m42s
batch 297/814 (14850/40670) | decode:0.76s embed:1.70s db:0.03s total:1.73s | CPU:70% RAM:93% GPU:N/A | ETA:14m43s
batch 298/814 (14900/40670) | decode:0.70s embed:1.60s db:0.04s total:1.65s | CPU:77% RAM:93% GPU:N/A | ETA:14m35s
batch 299/814 (14950/40670) | decode:0.75s embed:1.60s db:0.06s total:1.66s | CPU:74% RAM:93% GPU:N/A | ETA:14m29s
batch 300/814 (15000/40670) | decode:0.68s embed:1.66s db:0.20s total:1.86s | CPU:74% RAM:93% GPU:N/A | ETA:14m46s
batch 301/814 (15050/40670) | decode:0.70s embed:1.60s db:0.03s total:1.63s | CPU:78% RAM:93% GPU:N/A | ETA:14m34s
batch 302/814 (15100/40670) | decode:0.68s embed:1.61s db:0.03s total:1.64s | CPU:75% RAM:93% GPU:N/A | ETA:14m26s
batch 303/814 (15150/40670) | decode:0.65s embed:1.68s db:0.02s total:1.71s | CPU:78% RAM:93% GPU:N/A | ETA:14m25s
batch 304/814 (15200/40670) | decode:0.72s embed:1.88s db:0.04s total:1.92s | CPU:78% RAM:94% GPU:N/A | ETA:14m46s
batch 305/814 (15250/40670) | decode:0.62s embed:1.65s db:0.03s total:1.68s | CPU:78% RAM:94% GPU:N/A | ETA:14m38s
batch 306/814 (15300/40670) | decode:0.63s embed:1.77s db:0.04s total:1.80s | CPU:72% RAM:94% GPU:N/A | ETA:14m45s
batch 307/814 (15350/40670) | decode:0.68s embed:1.77s db:0.05s total:1.82s | CPU:71% RAM:94% GPU:N/A | ETA:14m51s
batch 308/814 (15400/40670) | decode:0.90s embed:1.76s db:0.03s total:1.79s | CPU:70% RAM:94% GPU:N/A | ETA:14m52s
batch 309/814 (15450/40670) | decode:0.74s embed:1.86s db:0.05s total:1.91s | CPU:75% RAM:94% GPU:N/A | ETA:15m5s
batch 310/814 (15500/40670) | decode:0.83s embed:1.68s db:0.03s total:1.72s | CPU:70% RAM:94% GPU:N/A | ETA:14m56s
batch 311/814 (15550/40670) | decode:0.84s embed:1.68s db:0.03s total:1.72s | CPU:78% RAM:94% GPU:N/A | ETA:14m48s
batch 312/814 (15600/40670) | decode:0.93s embed:1.74s db:0.03s total:1.78s | CPU:81% RAM:94% GPU:N/A | ETA:14m47s
batch 313/814 (15650/40670) | decode:0.96s embed:1.86s db:0.04s total:1.90s | CPU:75% RAM:94% GPU:N/A | ETA:14m59s
batch 314/814 (15700/40670) | decode:0.82s embed:1.73s db:0.07s total:1.79s | CPU:78% RAM:94% GPU:N/A | ETA:14m57s
batch 315/814 (15750/40670) | decode:0.65s embed:1.96s db:0.06s total:2.03s | CPU:75% RAM:93% GPU:N/A | ETA:15m19s
batch 316/814 (15800/40670) | decode:0.88s embed:1.79s db:0.05s total:1.84s | CPU:83% RAM:91% GPU:N/A | ETA:15m16s
batch 317/814 (15850/40670) | decode:0.98s embed:1.93s db:0.04s total:1.97s | CPU:71% RAM:92% GPU:N/A | ETA:15m27s
batch 318/814 (15900/40670) | decode:0.73s embed:1.96s db:0.05s total:2.02s | CPU:74% RAM:91% GPU:N/A | ETA:15m40s
batch 319/814 (15950/40670) | decode:1.04s embed:1.75s db:0.05s total:1.80s | CPU:71% RAM:92% GPU:N/A | ETA:15m29s
batch 320/814 (16000/40670) | decode:1.13s embed:1.72s db:0.11s total:1.84s | CPU:72% RAM:92% GPU:N/A | ETA:15m23s
batch 321/814 (16050/40670) | decode:1.17s embed:1.77s db:0.03s total:1.80s | CPU:72% RAM:92% GPU:N/A | ETA:15m14s
batch 322/814 (16100/40670) | decode:1.10s embed:1.66s db:0.05s total:1.71s | CPU:81% RAM:92% GPU:N/A | ETA:14m58s
batch 323/814 (16150/40670) | decode:0.86s embed:1.71s db:0.05s total:1.76s | CPU:88% RAM:92% GPU:N/A | ETA:14m50s
batch 324/814 (16200/40670) | decode:0.95s embed:1.75s db:0.05s total:1.81s | CPU:73% RAM:92% GPU:N/A | ETA:14m47s
batch 325/814 (16250/40670) | decode:0.62s embed:1.71s db:0.04s total:1.75s | CPU:79% RAM:91% GPU:N/A | ETA:14m39s
batch 326/814 (16300/40670) | decode:0.72s embed:1.67s db:0.03s total:1.70s | CPU:79% RAM:91% GPU:N/A | ETA:14m27s
batch 327/814 (16350/40670) | decode:0.73s embed:1.69s db:0.04s total:1.73s | CPU:72% RAM:91% GPU:N/A | ETA:14m21s
batch 328/814 (16400/40670) | decode:0.73s embed:1.61s db:0.08s total:1.69s | CPU:76% RAM:91% GPU:N/A | ETA:14m11s
batch 329/814 (16450/40670) | decode:0.77s embed:1.61s db:0.03s total:1.64s | CPU:77% RAM:91% GPU:N/A | ETA:13m59s
batch 330/814 (16500/40670) | decode:0.66s embed:1.62s db:0.04s total:1.66s | CPU:69% RAM:91% GPU:N/A | ETA:13m50s
batch 331/814 (16550/40670) | decode:0.81s embed:1.60s db:0.03s total:1.64s | CPU:84% RAM:91% GPU:N/A | ETA:13m40s
batch 332/814 (16600/40670) | decode:0.66s embed:1.60s db:0.06s total:1.66s | CPU:69% RAM:91% GPU:N/A | ETA:13m35s
batch 333/814 (16650/40670) | decode:0.68s embed:1.57s db:0.03s total:1.60s | CPU:77% RAM:91% GPU:N/A | ETA:13m24s
batch 334/814 (16700/40670) | decode:0.80s embed:1.74s db:0.04s total:1.79s | CPU:78% RAM:91% GPU:N/A | ETA:13m34s
batch 335/814 (16750/40670) | decode:0.69s embed:1.75s db:0.05s total:1.80s | CPU:78% RAM:91% GPU:N/A | ETA:13m42s
batch 336/814 (16800/40670) | decode:0.77s embed:1.81s db:0.05s total:1.86s | CPU:71% RAM:91% GPU:N/A | ETA:13m54s
batch 337/814 (16850/40670) | decode:0.61s embed:1.77s db:0.06s total:1.83s | CPU:72% RAM:91% GPU:N/A | ETA:14m0s
batch 338/814 (16900/40670) | decode:0.87s embed:1.66s db:0.04s total:1.70s | CPU:69% RAM:92% GPU:N/A | ETA:13m52s
batch 339/814 (16950/40670) | decode:0.71s embed:1.64s db:0.06s total:1.70s | CPU:75% RAM:91% GPU:N/A | ETA:13m46s
batch 340/814 (17000/40670) | decode:0.91s embed:1.58s db:0.14s total:1.72s | CPU:73% RAM:92% GPU:N/A | ETA:13m42s
batch 341/814 (17050/40670) | decode:0.82s embed:1.72s db:0.03s total:1.75s | CPU:80% RAM:92% GPU:N/A | ETA:13m41s
batch 342/814 (17100/40670) | decode:0.79s embed:1.64s db:0.05s total:1.69s | CPU:77% RAM:91% GPU:N/A | ETA:13m35s
batch 343/814 (17150/40670) | decode:0.71s embed:1.64s db:0.05s total:1.69s | CPU:70% RAM:91% GPU:N/A | ETA:13m30s
batch 344/814 (17200/40670) | decode:0.64s embed:1.62s db:0.03s total:1.65s | CPU:80% RAM:91% GPU:N/A | ETA:13m22s
batch 345/814 (17250/40670) | decode:0.90s embed:1.70s db:0.03s total:1.73s | CPU:83% RAM:91% GPU:N/A | ETA:13m23s
batch 346/814 (17300/40670) | decode:0.64s embed:1.72s db:0.04s total:1.75s | CPU:85% RAM:91% GPU:N/A | ETA:13m25s
batch 347/814 (17350/40670) | decode:0.78s embed:1.61s db:0.05s total:1.67s | CPU:76% RAM:91% GPU:N/A | ETA:13m18s
batch 348/814 (17400/40670) | decode:0.64s embed:1.77s db:0.04s total:1.81s | CPU:84% RAM:90% GPU:N/A | ETA:13m26s
batch 349/814 (17450/40670) | decode:0.71s embed:2.08s db:0.04s total:2.12s | CPU:76% RAM:91% GPU:N/A | ETA:14m0s
batch 350/814 (17500/40670) | decode:0.79s embed:1.63s db:0.05s total:1.68s | CPU:77% RAM:91% GPU:N/A | ETA:13m47s
batch 351/814 (17550/40670) | decode:0.66s embed:1.63s db:0.05s total:1.68s | CPU:80% RAM:91% GPU:N/A | ETA:13m35s
batch 352/814 (17600/40670) | decode:0.80s embed:1.64s db:0.07s total:1.71s | CPU:76% RAM:90% GPU:N/A | ETA:13m29s
batch 353/814 (17650/40670) | decode:1.25s embed:1.59s db:0.06s total:1.65s | CPU:78% RAM:91% GPU:N/A | ETA:13m18s
batch 354/814 (17700/40670) | decode:0.69s embed:1.64s db:0.04s total:1.68s | CPU:75% RAM:90% GPU:N/A | ETA:13m11s
batch 355/814 (17750/40670) | decode:0.74s embed:1.61s db:0.04s total:1.66s | CPU:74% RAM:90% GPU:N/A | ETA:13m3s
batch 356/814 (17800/40670) | decode:0.66s embed:1.55s db:0.06s total:1.61s | CPU:76% RAM:90% GPU:N/A | ETA:12m53s
batch 357/814 (17850/40670) | decode:0.65s embed:1.58s db:0.06s total:1.65s | CPU:77% RAM:90% GPU:N/A | ETA:12m47s
batch 358/814 (17900/40670) | decode:0.72s embed:1.63s db:0.04s total:1.67s | CPU:82% RAM:90% GPU:N/A | ETA:12m45s
batch 359/814 (17950/40670) | decode:0.66s embed:1.73s db:0.04s total:1.77s | CPU:84% RAM:88% GPU:N/A | ETA:12m51s
batch 360/814 (18000/40670) | decode:0.64s embed:1.72s db:0.22s total:1.94s | CPU:79% RAM:87% GPU:N/A | ETA:13m12s
batch 361/814 (18050/40670) | decode:0.64s embed:1.66s db:0.03s total:1.69s | CPU:85% RAM:85% GPU:N/A | ETA:13m5s
batch 362/814 (18100/40670) | decode:0.63s embed:2.01s db:0.07s total:2.08s | CPU:85% RAM:85% GPU:N/A | ETA:13m34s
batch 363/814 (18150/40670) | decode:0.81s embed:1.92s db:0.05s total:1.98s | CPU:72% RAM:85% GPU:N/A | ETA:13m48s
batch 364/814 (18200/40670) | decode:0.79s embed:1.68s db:0.05s total:1.74s | CPU:68% RAM:85% GPU:N/A | ETA:13m37s
batch 365/814 (18250/40670) | decode:0.81s embed:1.90s db:0.04s total:1.94s | CPU:78% RAM:86% GPU:N/A | ETA:13m46s
batch 366/814 (18300/40670) | decode:0.87s embed:1.58s db:0.05s total:1.63s | CPU:82% RAM:86% GPU:N/A | ETA:13m26s
batch 367/814 (18350/40670) | decode:1.08s embed:1.63s db:0.05s total:1.68s | CPU:77% RAM:86% GPU:N/A | ETA:13m14s
batch 368/814 (18400/40670) | decode:0.86s embed:1.94s db:0.05s total:1.99s | CPU:70% RAM:86% GPU:N/A | ETA:13m31s
batch 369/814 (18450/40670) | decode:0.66s embed:2.01s db:0.05s total:2.06s | CPU:71% RAM:86% GPU:N/A | ETA:13m51s
batch 370/814 (18500/40670) | decode:0.63s embed:1.69s db:0.03s total:1.72s | CPU:73% RAM:86% GPU:N/A | ETA:13m36s
batch 371/814 (18550/40670) | decode:0.69s embed:1.68s db:0.06s total:1.74s | CPU:81% RAM:86% GPU:N/A | ETA:13m26s
batch 372/814 (18600/40670) | decode:1.16s embed:2.22s db:0.05s total:2.27s | CPU:78% RAM:86% GPU:N/A | ETA:14m4s
batch 373/814 (18650/40670) | decode:1.11s embed:1.64s db:0.05s total:1.70s | CPU:75% RAM:86% GPU:N/A | ETA:13m43s
batch 374/814 (18700/40670) | decode:0.86s embed:1.60s db:0.05s total:1.65s | CPU:76% RAM:87% GPU:N/A | ETA:13m22s
batch 375/814 (18750/40670) | decode:0.70s embed:1.62s db:0.05s total:1.68s | CPU:81% RAM:86% GPU:N/A | ETA:13m8s
batch 376/814 (18800/40670) | decode:1.35s embed:1.66s db:0.06s total:1.72s | CPU:82% RAM:86% GPU:N/A | ETA:12m59s
batch 377/814 (18850/40670) | decode:0.71s embed:1.78s db:0.04s total:1.83s | CPU:78% RAM:86% GPU:N/A | ETA:13m1s
batch 378/814 (18900/40670) | decode:0.67s embed:1.76s db:0.05s total:1.82s | CPU:74% RAM:86% GPU:N/A | ETA:13m2s
batch 379/814 (18950/40670) | decode:0.64s embed:1.69s db:0.05s total:1.74s | CPU:78% RAM:86% GPU:N/A | ETA:12m56s
batch 380/814 (19000/40670) | decode:0.73s embed:1.70s db:0.14s total:1.84s | CPU:73% RAM:86% GPU:N/A | ETA:12m59s
batch 381/814 (19050/40670) | decode:0.89s embed:1.69s db:0.06s total:1.74s | CPU:74% RAM:86% GPU:N/A | ETA:12m52s
batch 382/814 (19100/40670) | decode:1.12s embed:1.70s db:0.03s total:1.73s | CPU:70% RAM:86% GPU:N/A | ETA:12m46s
batch 383/814 (19150/40670) | decode:0.73s embed:1.74s db:0.03s total:1.78s | CPU:80% RAM:85% GPU:N/A | ETA:12m44s
batch 384/814 (19200/40670) | decode:0.85s embed:1.70s db:0.03s total:1.73s | CPU:81% RAM:86% GPU:N/A | ETA:12m39s
batch 385/814 (19250/40670) | decode:0.61s embed:1.76s db:0.04s total:1.80s | CPU:71% RAM:86% GPU:N/A | ETA:12m40s
batch 386/814 (19300/40670) | decode:0.82s embed:1.72s db:0.04s total:1.76s | CPU:74% RAM:86% GPU:N/A | ETA:12m37s
